Region;Building type;Number of rooms;2006Q1;2006Q2;2006Q3;2006Q4;2007Q1;2007Q2;2007Q3;2007Q4;2008Q1;2008Q2;2008Q3;2008Q4;2009Q1;2009Q2;2009Q3;2009Q4;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2
Helsinki;"Blocks of flats";"One-room flat";3234;3293;3352;3439;3551;3630;3647;3639;3704;3790;3800;3581;3609;3824;4015;4162;4233;4263;4363;4369;4510;4544;4618;4525;4668;4791;4875;4886;4991;5056;5183;5192;5260;5291;5307;5171;5373;5329;5407;5400;5409;5531;5423;5655;5753;5807;5868;5919;6006;6003;6147;6058;6226;6317;6376;6233;6468;6546
Helsinki 1;"Blocks of flats";"One-room flat";4214;4251;4323;4443;4517;4687;4778;4731;4762;4970;4768;4552;4606;4765;5093;5348;5329;5472;5509;5483;5835;5859;5982;5815;5929;6055;6271;6167;6260;6485;6633;6582;6616;6768;6985;6577;6721;6787;6869;6744;6893;7106;5936;7197;7285;7504;7448;7806;8051;7727;7889;7946;8069;8217;8369;7914;8437;8506
Helsinki 2;"Blocks of flats";"One-room flat";3233;3311;3415;3444;3584;3662;3637;3635;3730;3784;3849;3603;3648;3878;4070;4238;4305;4285;4395;4443;4569;4608;4701;4580;4740;4872;4936;4973;5060;5142;5322;5394;5398;5397;5377;5246;5538;5469;5571;5491;5574;5716;5877;5908;6048;6060;6183;6074;6245;6237;6468;6330;6593;6639;6721;6644;7032;6976
Helsinki 3;"Blocks of flats";"One-room flat";2772;2819;2730;2992;3086;2980;3146;3199;3184;3179;3245;3260;2994;3351;3421;3484;3580;3785;3798;3590;3722;3877;3836;3867;3934;4002;4131;4143;4307;4280;4276;4378;4375;4480;4510;4560;4492;4351;4400;4709;4538;4553;4660;4669;4553;4715;4770;4766;4652;5003;4749;4865;4806;5004;5172;4897;4687;4972
Helsinki 4;"Blocks of flats";"One-room flat";2407;2440;2448;2554;2630;2721;2708;2687;2739;2844;2865;2619;2718;2859;2976;3015;3150;3124;3288;3321;3316;3282;3325;3307;3456;3574;3568;3609;3733;3664;3701;3575;3842;3813;3743;3741;3889;3863;3890;4003;3806;3850;3975;3847;3952;3915;3930;4111;3927;4015;4128;3947;4035;4120;4007;4037;3942;4178
Espoo-Kauniainen;"Blocks of flats";"One-room flat";2488;2526;2527;2603;2711;2723;2823;2971;2968;2917;3005;2659;2880;2979;3214;3095;3375;3245;3308;3285;3307;3475;3491;3379;3702;3720;3812;3824;3862;3766;3743;3817;3893;3914;3810;3862;3762;3942;3939;3879;3928;3978;4103;4094;4072;4044;4173;3829;4072;4238;4198;4065;4086;4070;3984;4456;4306;4331
Espoo-Kauniainen 1;"Blocks of flats";"One-room flat";2908;3010;3099;3128;3297;3258;3311;3385;3426;3257;3510;NaN;3504;3352;3626;3753;3907;3994;NaN;3850;NaN;NaN;4189;NaN;NaN;NaN;4691;NaN;NaN;NaN;NaN;NaN;4598;4704;NaN;4622;4346;4542;4824;4523;4492;NaN;NaN;5025;5305;NaN;NaN;NaN;NaN;5389;5362;5284;NaN;NaN;5314;NaN;NaN;NaN
Espoo-Kauniainen 2;"Blocks of flats";"One-room flat";2560;2562;2509;2676;2816;2690;2945;3156;3081;2994;3212;2998;3032;NaN;3371;3170;3671;3274;3597;3520;NaN;3497;3682;3694;3910;4129;4077;4046;4170;3969;3968;NaN;NaN;4194;4071;NaN;4157;4217;4206;NaN;4188;NaN;4391;4169;NaN;4355;NaN;NaN;4261;NaN;4427;4467;4325;4230;4014;4858;NaN;NaN
Espoo-Kauniainen 3;"Blocks of flats";"One-room flat";2270;2309;2314;2347;2414;2532;2547;2683;2707;2724;2669;2300;2539;2718;2940;2787;2974;2934;2847;2908;2852;3169;3092;2960;3272;3225;3307;3362;3301;3404;3280;3303;3410;3427;3406;3468;3281;3522;3428;3412;3530;3460;3561;3682;3489;3346;3663;3279;3627;3702;3597;3352;3442;3729;3458;3638;3730;NaN
Vantaa;"Blocks of flats";"One-room flat";2184;2291;2271;2276;2354;2395;2473;2579;2504;2608;2548;2493;2475;2613;2697;2749;2739;2681;2798;2884;2966;2973;2968;3030;3055;3110;3179;2746;2627;3206;3305;3280;3243;3231;3240;3318;3250;3426;3261;3287;3203;3192;3283;3253;3232;3327;3335;3435;3194;3488;3399;3242;3531;3236;3298;3361;3514;3614
