Region;Building type;Number of rooms;2006Q1;2006Q2;2006Q3;2006Q4;2007Q1;2007Q2;2007Q3;2007Q4;2008Q1;2008Q2;2008Q3;2008Q4;2009Q1;2009Q2;2009Q3;2009Q4;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2
Helsinki;"Blocks of flats";"Three-room flat+";2713;2796;2854;2868;2923;3003;3009;3015;3049;3110;3079;2896;2854;2964;3063;3186;3323;3409;3417;3393;3538;3586;3534;3513;3566;3560;3643;3644;3724;3720;3785;3731;3751;3794;3746;3747;3837;3774;3832;3852;3854;3861;3950;3958;4004;4090;4117;4131;4168;4339;4335;4338;4468;4550;4488;4456;4507;4548
Helsinki 1;"Blocks of flats";"Three-room flat+";4159;4217;4409;4296;4223;4461;4632;4699;4668;4852;4701;4522;4457;4511;4768;4869;5314;5487;5267;5360;5654;5858;5597;5448;5736;5556;5856;5674;5982;5816;6064;6063;5787;5855;5949;5820;6041;5981;6031;6164;6316;6046;6314;6330;6266;6648;6669;6735;6559;6970;6854;7047;7201;7304;7283;7207;7151;7586
Helsinki 2;"Blocks of flats";"Three-room flat+";3081;3227;3286;3382;3385;3525;3436;3459;3523;3635;3603;3276;3303;3440;3609;3726;3798;3877;4009;3917;4105;4195;4129;4114;4265;4273;4334;4311;4421;4394;4472;4405;4512;4534;4457;4490;4628;4558;4554;4700;4619;4680;4842;4719;4925;4981;5004;5041;5165;5296;5289;5315;5337;5493;5554;5527;5629;5620
Helsinki 3;"Blocks of flats";"Three-room flat+";2391;2493;2409;2483;2604;2630;2644;2652;2677;2702;2686;2543;2399;2569;2605;2764;2887;2929;2965;2966;3039;3067;3132;3059;3100;3062;3121;3250;3191;3286;3290;3313;3359;3321;3284;3280;3366;3301;3251;3373;3314;3454;3633;3608;3570;3613;3525;3651;3519;3745;3652;3625;3840;3918;3883;3741;3803;3951
Helsinki 4;"Blocks of flats";"Three-room flat+";1902;1934;2001;1970;2069;2072;2096;2071;2103;2103;2101;2022;1981;2052;2073;2180;2269;2346;2317;2301;2388;2370;2344;2374;2300;2342;2383;2401;2443;2459;2484;2404;2433;2506;2440;2456;2474;2422;2553;2426;2464;2461;2421;2515;2514;2547;2615;2562;2487;2571;2631;2577;2720;2738;2592;2609;2648;2575
Espoo-Kauniainen;"Blocks of flats";"Three-room flat+";2130;2217;2219;2204;2276;2399;2412;2381;2379;2544;2503;2234;2301;2413;2494;2604;2655;2711;2775;2733;2769;2868;2905;2791;2955;2930;2949;2910;2958;2895;2978;3034;2949;3039;2878;2970;2967;2922;2964;2891;3073;3021;3033;3075;3039;3110;3182;3059;3189;3167;3218;3265;3201;3272;3229;3200;3310;3363
Espoo-Kauniainen 1;"Blocks of flats";"Three-room flat+";2560;2793;2727;2829;2829;2815;2856;2845;2895;3162;2954;2765;2735;2935;3049;3145;3200;3404;3509;3350;3476;3645;3378;3624;3759;3692;3693;3786;3677;3646;3610;3778;3885;3933;3670;3829;3742;3915;3936;3733;3959;4055;3879;4095;3915;3994;4124;4248;4238;4224;4346;4219;4448;4560;4454;4369;4596;4698
Espoo-Kauniainen 2;"Blocks of flats";"Three-room flat+";2226;2280;2313;2297;2404;2571;2592;2604;2486;2630;2629;2393;2556;2591;2559;2723;2864;2942;2939;2926;3030;2993;3174;2990;3175;3186;3165;3186;3261;3180;3322;3220;3146;3223;3108;3178;3223;3212;3204;3339;3405;3344;3427;3505;3319;3461;3631;3517;3581;3540;3425;3701;3560;3398;3346;3472;3577;3500
Espoo-Kauniainen 3;"Blocks of flats";"Three-room flat+";1883;1932;1943;1887;1964;2115;2112;2054;2090;2225;2228;1916;1971;2085;2210;2296;2299;2289;2370;2357;2326;2464;2543;2335;2494;2467;2510;2399;2487;2422;2519;2608;2453;2561;2418;2495;2498;2366;2436;2316;2529;2433;2475;2443;2523;2555;2563;2365;2527;2511;2613;2612;2488;2651;2634;2551;2620;2716
Vantaa;"Blocks of flats";"Three-room flat+";1756;1775;1803;1815;1903;1886;1864;1956;1983;1979;2006;1859;1806;1932;1887;2050;2031;2102;2096;2165;2130;2198;2198;2175;2234;2198;2232;2260;2247;2261;2256;2201;2155;2244;2286;2183;2247;2216;2178;2182;2203;2237;2203;2256;2207;2237;2246;2215;2254;2289;2279;2314;2209;2246;2266;2291;2342;2331
Vantaa 1;"Blocks of flats";"Three-room flat+";2174;2127;2119;2265;2447;2383;2323;2402;2493;2384;2569;2181;2295;2274;2220;2567;2644;2626;2689;2800;2615;2821;2826;2674;2907;2859;2857;2988;2918;2825;2939;2881;2743;3060;3031;2936;3013;3134;2941;2885;2895;3013;2984;3125;3053;3138;3025;3155;3011;3258;3172;3247;3223;3163;3184;3308;3356;3468
Vantaa 2;"Blocks of flats";"Three-room flat+";1655;1688;1725;1707;1776;1768;1755;1848;1862;1881;1874;1779;1690;1847;1805;1926;1888;1977;1957;2016;2012;2051;2051;2055;2077;2045;2085;2093;2091;2127;2097;2044;2017;2060;2115;2011;2073;2014;2005;2021;2043;2060;2026;2063;2018;2038;2069;2009;2073;2067;2071;2098;1980;2034;2053;2060;2110;2078
Satellite municipalities;"Blocks of flats";"Three-room flat+";1532;1590;1546;1638;1627;1609;1615;1619;1694;1685;1727;1615;1608;1688;1704;1759;1809;1812;1827;1827;1890;1849;1867;1829;1863;1845;1998;1928;1763;1867;1958;1870;1881;1889;1952;1794;1904;2049;1942;1699;1826;1903;1908;1828;1925;1974;1870;1797;1844;1893;1846;1843;1751;1785;1809;1771;1826;1768
Porvoo;"Blocks of flats";"Three-room flat+";1777;1841;2026;1905;2038;2050;2111;1837;1982;1895;1835;1835;NaN;2022;1967;1742;1811;1999;1964;NaN;2170;2338;2146;2047;NaN;2164;2205;2497;2309;2270;NaN;2396;2083;2468;NaN;1944;NaN;2301;2004;2276;2518;2394;2169;2372;2436;2434;2337;2263;2521;2326;2383;2444;2084;2491;NaN;2546;2408;NaN
Hyvink‰‰;"Blocks of flats";"Three-room flat+";1489;1533;1489;1560;1514;1648;1623;1598;1583;1553;1732;1525;1535;1707;1542;1666;1631;1604;1649;1687;1827;1770;1756;1650;1716;1687;1886;1762;1312;1860;1866;1788;1696;1875;1755;1568;1648;1892;1851;1751;1618;1618;1766;1778;1942;1993;1654;1507;1543;1550;1669;1682;1633;1858;1643;1548;1675;NaN
J‰rvenp‰‰;"Blocks of flats";"Three-room flat+";NaN;1628;1692;1835;1962;1845;1804;1780;1876;1761;NaN;NaN;NaN;1851;1908;1939;1925;2120;2124;2093;2133;2003;NaN;NaN;2320;2081;2286;2178;2089;NaN;2070;2030;NaN;NaN;NaN;NaN;NaN;2433;2459;NaN;2177;2101;NaN;2061;1983;NaN;2330;2343;NaN;NaN;NaN;NaN;2138;2221;NaN;1911;2020;NaN
Kerava;"Blocks of flats";"Three-room flat+";1547;1751;1611;1946;1742;1698;1890;1705;1854;1888;1954;1881;1864;1832;1884;1959;2076;2256;2092;1993;2148;2075;2184;2202;2026;2256;2365;2234;2118;2139;2279;NaN;NaN;2207;2369;2114;2178;2326;2233;1887;2255;2241;2069;2211;2075;2232;2230;2108;2095;2236;NaN;2094;1572;2051;2190;2229;2157;NaN
Varsinais-Suomi;"Blocks of flats";"Three-room flat+";1298;1306;1317;1387;1370;1423;1408;1388;1436;1427;1425;1346;1364;1416;1442;1475;1519;1572;1544;1564;1565;1612;1559;1496;1548;1594;1621;1552;1574;1611;1602;1577;1599;1699;1617;1542;1594;1657;1577;1616;1610;1609;1616;1571;1661;1646;1644;1635;1539;1751;1715;1748;1742;1785;1716;1710;1786;1777
