"112r -- Average prices of old dwellings in housing companies and numbers of transactions, quarterly, 2006-, 2006Q1-2020Q2*"

"Region";"Building type";"Number of rooms";"2010Q1 Price per square meter (EUR/m2)";"2010Q2 Price per square meter (EUR/m2)";"2010Q3 Price per square meter (EUR/m2)";"2010Q4 Price per square meter (EUR/m2)";"2011Q1 Price per square meter (EUR/m2)";"2011Q2 Price per square meter (EUR/m2)";"2011Q3 Price per square meter (EUR/m2)";"2011Q4 Price per square meter (EUR/m2)";"2012Q1 Price per square meter (EUR/m2)";"2012Q2 Price per square meter (EUR/m2)";"2012Q3 Price per square meter (EUR/m2)";"2012Q4 Price per square meter (EUR/m2)";"2013Q1 Price per square meter (EUR/m2)";"2013Q2 Price per square meter (EUR/m2)";"2013Q3 Price per square meter (EUR/m2)";"2013Q4 Price per square meter (EUR/m2)";"2014Q1 Price per square meter (EUR/m2)";"2014Q2 Price per square meter (EUR/m2)";"2014Q3 Price per square meter (EUR/m2)";"2014Q4 Price per square meter (EUR/m2)";"2015Q1 Price per square meter (EUR/m2)";"2015Q2 Price per square meter (EUR/m2)";"2015Q3 Price per square meter (EUR/m2)";"2015Q4 Price per square meter (EUR/m2)";"2016Q1 Price per square meter (EUR/m2)";"2016Q2 Price per square meter (EUR/m2)";"2016Q3 Price per square meter (EUR/m2)";"2016Q4 Price per square meter (EUR/m2)";"2017Q1 Price per square meter (EUR/m2)";"2017Q2 Price per square meter (EUR/m2)";"2017Q3 Price per square meter (EUR/m2)";"2017Q4 Price per square meter (EUR/m2)";"2018Q1 Price per square meter (EUR/m2)";"2018Q2 Price per square meter (EUR/m2)";"2018Q3 Price per square meter (EUR/m2)";"2018Q4 Price per square meter (EUR/m2)";"2019Q1 Price per square meter (EUR/m2)";"2019Q2 Price per square meter (EUR/m2)";"2019Q3 Price per square meter (EUR/m2)";"2019Q4 Price per square meter (EUR/m2)";"2020Q1* Price per square meter (EUR/m2)";"2020Q2* Price per square meter (EUR/m2)"
"Helsinki 1";"Building types total";"Total";5256;5401;5286;5322;5660;5815;5647;5532;5758;5641;5876;5750;5994;5938;6156;6141;5909;6002;6077;5934;6138;6081;6202;6234;6318;6234;6246;6439;6466;6756;6817;6867;6766;7099;7018;7197;7337;7422;7374;7249;7352;7697
"Helsinki 2";"Building types total";"Total";3857;3961;4037;4023;4179;4228;4191;4183;4281;4376;4415;4438;4512;4560;4608;4568;4668;4709;4649;4645;4726;4728;4785;4828;4775;4859;4965;4947;5095;5125;5236;5154;5298;5519;5435;5400;5482;5577;5649;5659;5752;5752
"Helsinki 3";"Building types total";"Total";3064;3156;3168;3158;3173;3261;3322;3246;3280;3265;3263;3323;3399;3417;3449;3401;3434;3424;3444;3387;3467;3422;3397;3482;3472;3471;3580;3624;3547;3644;3564;3585;3598;3715;3583;3718;3756;3848;3707;3684;3761;3857
"Helsinki 4";"Building types total";"Total";2487;2546;2521;2565;2601;2628;2627;2575;2601;2637;2674;2665;2714;2719;2752;2732;2741;2762;2685;2717;2736;2683;2812;2687;2706;2765;2753;2760;2815;2831;2846;2841;2809;2896;2870;2864;2959;2938;2876;2854;2902;2893
"Espoo-Kauniainen 1";"Building types total";"Total";3358;3565;3597;3565;3645;3696;3637;3643;3806;3754;3889;3878;3746;3785;3817;3675;3866;3850;3883;3825;3696;3876;3836;3756;3898;4039;3943;4007;3875;4003;4027;4156;4037;4089;4197;4128;4181;4256;4256;4207;4323;4381
"Espoo-Kauniainen 2";"Building types total";"Total";3206;3173;3209;3188;3294;3277;3335;3282;3360;3416;3395;3427;3434;3412;3487;3440;3412;3388;3372;3401;3451;3421;3414;3446;3462;3473;3464;3505;3523;3591;3602;3543;3632;3677;3587;3614;3610;3603;3577;3593;3623;3767
"Espoo-Kauniainen 3";"Building types total";"Total";2689;2694;2721;2717;2727;2788;2847;2727;2809;2813;2842;2774;2814;2844;2903;2892;2838;2858;2815;2802;2818;2765;2797;2754;2813;2806;2819;2803;2848;2904;2889;2841;2872;2910;2962;2928;2869;2961;2938;2896;2953;3032
"Vantaa 1";"Building types total";"Total";2750;2848;2821;2848;2855;2935;2929;2911;2921;3037;3041;3051;3052;3055;3038;3052;3000;3159;3069;3088;3083;3161;3061;3058;3044;3102;3110;3153;3133;3198;3151;3211;3130;3258;3270;3245;3327;3252;3276;3297;3239;3474
"Vantaa 2";"Building types total";"Total";2215;2282;2294;2299;2305;2335;2333;2359;2352;2336;2380;2390;2341;2436;2388;2360;2433;2402;2407;2333;2370;2332;2325;2353;2346;2381;2369;2385;2350;2356;2364;2355;2446;2383;2420;2399;2416;2402;2381;2407;2456;2437
"Porvoo";"Building types total";"Total";2055;2187;2165;2130;2320;2327;2281;2294;2253;2379;2343;2385;2387;2376;2249;2439;2435;2459;2226;2185;2428;2322;2233;2336;2426;2452;2393;2468;2437;2403;2474;2368;2426;2498;2436;2501;2257;2479;2479;2411;2599;2480
"Hyvink‰‰";"Building types total";"Total";1818;1759;1807;1825;1948;1927;1926;1889;1927;1907;1968;1934;1704;1982;1962;1941;1975;1944;1976;1891;1931;1970;1925;1914;1891;1879;1938;1940;1959;1974;1833;1828;1844;1876;1827;1860;1864;1942;1802;1783;1881;1792
"J‰rvenp‰‰";"Building types total";"Total";2207;2289;2297;2306;2341;2285;2332;2333;2367;2386;2329;2383;2393;2350;2335;2393;2350;2415;2276;2355;2388;2481;2393;2394;2339;2328;2345;2290;2320;2474;2357;2278;2384;2417;2389;2396;2431;2487;2330;2399;2290;2383
"Kerava";"Building types total";"Total";2193;2256;2243;2167;2256;2318;2316;2264;2296;2384;2397;2384;2257;2321;2335;2322;2391;2332;2274;2269;2228;2335;2309;2144;2354;2330;2239;2276;2269;2368;2352;2229;2289;2266;2293;2196;2011;2274;2245;2266;2181;2238
