"112r -- Average prices of old dwellings in housing companies and numbers of transactions, quarterly, 2006-, 2006Q1-2020Q2*"

"Region";"Building type";"Number of rooms";"2010Q1 Price per square meter (EUR/m2)";"2010Q2 Price per square meter (EUR/m2)";"2010Q3 Price per square meter (EUR/m2)";"2010Q4 Price per square meter (EUR/m2)";"2011Q1 Price per square meter (EUR/m2)";"2011Q2 Price per square meter (EUR/m2)";"2011Q3 Price per square meter (EUR/m2)";"2011Q4 Price per square meter (EUR/m2)";"2012Q1 Price per square meter (EUR/m2)";"2012Q2 Price per square meter (EUR/m2)";"2012Q3 Price per square meter (EUR/m2)";"2012Q4 Price per square meter (EUR/m2)";"2013Q1 Price per square meter (EUR/m2)";"2013Q2 Price per square meter (EUR/m2)";"2013Q3 Price per square meter (EUR/m2)";"2013Q4 Price per square meter (EUR/m2)";"2014Q1 Price per square meter (EUR/m2)";"2014Q2 Price per square meter (EUR/m2)";"2014Q3 Price per square meter (EUR/m2)";"2014Q4 Price per square meter (EUR/m2)";"2015Q1 Price per square meter (EUR/m2)";"2015Q2 Price per square meter (EUR/m2)";"2015Q3 Price per square meter (EUR/m2)";"2015Q4 Price per square meter (EUR/m2)";"2016Q1 Price per square meter (EUR/m2)";"2016Q2 Price per square meter (EUR/m2)";"2016Q3 Price per square meter (EUR/m2)";"2016Q4 Price per square meter (EUR/m2)";"2017Q1 Price per square meter (EUR/m2)";"2017Q2 Price per square meter (EUR/m2)";"2017Q3 Price per square meter (EUR/m2)";"2017Q4 Price per square meter (EUR/m2)";"2018Q1 Price per square meter (EUR/m2)";"2018Q2 Price per square meter (EUR/m2)";"2018Q3 Price per square meter (EUR/m2)";"2018Q4 Price per square meter (EUR/m2)";"2019Q1 Price per square meter (EUR/m2)";"2019Q2 Price per square meter (EUR/m2)";"2019Q3 Price per square meter (EUR/m2)";"2019Q4 Price per square meter (EUR/m2)";"2020Q1* Price per square meter (EUR/m2)";"2020Q2* Price per square meter (EUR/m2)"
"Helsinki 1";"Blocks of flats";"One-room flat";5329;5472;5509;5483;5835;5859;5982;5815;5929;6055;6271;6167;6260;6485;6633;6582;6616;6768;6985;6577;6721;6787;6869;6744;6893;7106;5936;7197;7285;7504;7448;7806;8051;7727;7889;7946;8069;8217;8369;7914;8437;8506
"Helsinki 2";"Blocks of flats";"One-room flat";4305;4285;4395;4443;4569;4608;4701;4580;4740;4872;4936;4973;5060;5142;5322;5394;5398;5397;5377;5246;5538;5469;5571;5491;5574;5716;5877;5908;6048;6060;6183;6074;6245;6237;6468;6330;6593;6639;6721;6644;7032;6976
"Helsinki 3";"Blocks of flats";"One-room flat";3580;3785;3798;3590;3722;3877;3836;3867;3934;4002;4131;4143;4307;4280;4276;4378;4375;4480;4510;4560;4492;4351;4400;4709;4538;4553;4660;4669;4553;4715;4770;4766;4652;5003;4749;4865;4806;5004;5172;4897;4687;4972
"Helsinki 4";"Blocks of flats";"One-room flat";3150;3124;3288;3321;3316;3282;3325;3307;3456;3574;3568;3609;3733;3664;3701;3575;3842;3813;3743;3741;3889;3863;3890;4003;3806;3850;3975;3847;3952;3915;3930;4111;3927;4015;4128;3947;4035;4120;4007;4037;3942;4178
"Espoo-Kauniainen 1";"Blocks of flats";"One-room flat";3907;3994;...;3850;...;...;4189;...;...;...;4691;...;...;...;...;...;4598;4704;...;4622;4346;4542;4824;4523;4492;...;...;5025;5305;...;...;...;...;5389;5362;5284;...;...;5314;...;...;...
"Espoo-Kauniainen 2";"Blocks of flats";"One-room flat";3671;3274;3597;3520;...;3497;3682;3694;3910;4129;4077;4046;4170;3969;3968;...;...;4194;4071;...;4157;4217;4206;...;4188;...;4391;4169;...;4355;...;...;4261;...;4427;4467;4325;4230;4014;4858;...;...
"Espoo-Kauniainen 3";"Blocks of flats";"One-room flat";2974;2934;2847;2908;2852;3169;3092;2960;3272;3225;3307;3362;3301;3404;3280;3303;3410;3427;3406;3468;3281;3522;3428;3412;3530;3460;3561;3682;3489;3346;3663;3279;3627;3702;3597;3352;3442;3729;3458;3638;3730;...
"Vantaa 1";"Blocks of flats";"One-room flat";...;3195;...;...;...;3535;...;...;...;...;...;3684;...;...;...;...;...;3630;...;...;3890;...;3877;...;...;3546;...;...;...;...;...;...;...;...;4271;...;...;...;...;...;...;...
"Vantaa 2";"Blocks of flats";"One-room flat";2625;2562;2708;2770;2809;2842;2887;2925;2899;2989;3039;2545;2429;3111;3159;3152;3125;3135;3113;3146;3102;3266;3118;3108;3024;3107;3197;3071;3073;3177;3153;3246;2967;3325;3188;3023;3321;3053;3115;3180;3183;3402
"Porvoo";"Blocks of flats";"One-room flat";...;2827;2739;...;...;...;2848;2610;...;...;2956;2832;...;...;...;...;...;...;...;2668;3092;2639;2206;2949;...;...;...;...;2808;...;...;...;2965;...;...;3199;...;...;...;...;3074;...
"Hyvink‰‰";"Blocks of flats";"One-room flat";1821;1860;...;1984;...;2061;1947;1936;1997;1872;2145;1765;1972;2275;2233;2107;...;...;2146;...;2279;...;2279;...;2192;2038;...;1935;1956;2174;2051;2078;...;...;...;...;1968;...;...;1919;...;...
"J‰rvenp‰‰";"Blocks of flats";"One-room flat";2524;...;2770;...;...;2837;...;...;...;2735;...;2919;2780;...;...;...;...;...;...;2776;2962;...;2978;...;...;...;...;...;3459;3177;...;...;...;...;...;...;...;...;...;...;...;...
"Kerava";"Blocks of flats";"One-room flat";...;...;...;2661;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2764;...;2749;...;...;...;...;...;...;...;2682;...;...;...;...;...;...;...;2646;...;...;...
"Turku 1";"Blocks of flats";"One-room flat";2594;2624;2687;2664;2773;2752;2778;2641;2664;2719;2836;2862;3034;3052;2938;2972;3023;2907;3040;3102;3099;3194;3338;3184;3347;3469;3673;3712;3511;3702;3707;3795;3760;3806;4006;3646;3856;3876;3946;4069;4225;4200
"Turku 2";"Blocks of flats";"One-room flat";...;...;1960;2036;2265;2110;2107;...;...;...;2293;...;2779;2507;2434;2501;2533;2550;...;2358;2380;...;2606;...;...;2474;...;2771;3069;2614;...;...;2983;3230;2682;2831;3466;3003;2942;...;...;...
"Turku 3";"Blocks of flats";"One-room flat";1622;1613;1707;1634;1679;1782;1758;1594;1722;1757;1767;1830;1687;1936;1787;1796;1741;1806;1695;1687;1819;1850;1829;1781;1802;1805;1943;1981;1866;1877;1905;1947;2048;2092;1899;2221;...;1940;2125;2052;2048;1805
"Pori 1";"Blocks of flats";"One-room flat";1788;2017;1947;1873;1744;2063;1783;2036;1750;1620;1986;1963;2077;1916;2037;1953;1833;1945;1749;2015;1964;1547;1774;2289;1968;...;2009;...;1806;1973;2176;...;2165;2081;1945;2163;2010;...;1735;...;1817;...
"Pori 2";"Blocks of flats";"One-room flat";1000;970;1154;...;...;1215;...;...;...;...;1113;986;1130;1056;...;1300;...;...;1062;...;1062;...;...;905;896;850;1159;...;930;...;984;...;...;...;...;888;...;...;...;...;...;...
"Rauma";"Blocks of flats";"One-room flat";...;...;...;...;...;...;1816;...;...;...;...;1193;...;...;...;...;...;...;1717;...;...;1392;...;...;...;...;1494;...;...;...;...;1359;...;...;...;1435;1633;...;...;...;...;...
"H‰meenlinna 1";"Blocks of flats";"One-room flat";...;2080;2241;2271;2248;...;2408;2277;...;2413;2399;...;2265;2362;2574;...;...;...;...;2555;2608;2761;...;2691;2675;...;...;...;2593;...;...;2445;2367;2368;...;2273;...;...;...;2071;...;...
"H‰meenlinna 2";"Blocks of flats";"One-room flat";...;...;...;1152;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Riihim‰ki";"Blocks of flats";"One-room flat";...;...;...;...;1648;1764;...;...;...;...;...;1861;1561;1791;...;...;...;...;...;1679;1616;...;1458;...;...;...;...;...;...;...;1418;1789;...;...;...;...;...;...;...;...;...;...
"Tampere 1";"Blocks of flats";"One-room flat";2914;2997;2892;2974;2953;3021;3109;3007;2971;3176;3190;3203;3245;3324;3529;3259;3478;3203;3415;3481;3441;3518;3522;3489;3495;3683;3769;3615;3540;3734;3598;3767;3810;4195;3913;3777;3737;4059;4168;3989;4114;4115
"Tampere 2";"Blocks of flats";"One-room flat";2243;2091;2070;2126;2283;2174;2350;2379;2162;2412;2457;2156;2423;...;2328;2143;2752;...;2261;2533;2503;2465;2607;2508;...;2483;2696;2719;2784;2491;2577;2549;2967;2672;2790;3026;...;2896;2873;2642;3171;3053
"Tampere 3";"Blocks of flats";"One-room flat";1869;1881;1910;1950;1991;1906;1962;1948;1949;2022;1969;1985;2137;2055;2047;2083;2085;2025;2063;2147;2079;2123;2063;1877;2311;2189;2178;1963;2219;2089;2173;2211;2342;2173;2260;2263;2141;2180;2264;2465;2268;2596
"Lahti 1";"Blocks of flats";"One-room flat";2254;2222;2254;2369;2363;2480;2408;2318;2534;2173;2429;2584;2460;2362;2588;2300;2643;2841;2733;...;2655;2465;2601;2861;...;2671;2612;2623;2641;2737;2532;...;2769;2664;2438;...;...;2724;2721;2434;2402;...
"Lahti 2";"Blocks of flats";"One-room flat";1587;1512;1500;1511;1710;1613;1620;1362;1672;1687;1612;1666;1700;1556;1602;1729;1664;1666;1648;1744;1606;1791;1644;1577;1605;1681;1707;1629;1792;1631;1785;1588;1601;1719;1683;2238;1568;1764;1533;1476;1818;...
"Kotka 1";"Blocks of flats";"One-room flat";1562;1396;1629;...;1712;1711;1686;...;...;...;1620;...;1692;1610;1652;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1568;...;...;...;1718;...;...;1810;...;...;...;...
"Kotka 2";"Blocks of flats";"One-room flat";992;930;1032;1003;1031;1008;1016;788;...;1025;966;...;1046;...;1091;...;948;...;...;...;...;...;...;...;...;774;...;...;...;...;869;...;...;...;...;...;...;...;...;...;...;...
"Kouvola";"Blocks of flats";"One-room flat";1141;1203;1116;1140;1098;973;1157;1045;1137;1090;1159;1083;1102;1188;1228;1256;1163;1001;1097;1188;1000;1053;1088;1118;1003;1107;1050;1009;997;1020;1060;971;1044;887;1011;1046;...;927;900;843;...;...
"Lappeenranta 1";"Blocks of flats";"One-room flat";2057;2164;...;2154;2021;2313;2231;...;...;2299;2434;2268;2443;2305;2323;2211;2345;...;2322;...;...;...;2301;...;...;2501;...;2503;2436;...;2225;2488;2552;...;2319;...;2288;2359;2660;...;...;...
"Lappeenranta 2";"Blocks of flats";"One-room flat";1367;...;1377;...;...;1423;1619;...;...;1535;1437;1450;1454;...;...;1359;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1469;...;...;...;...;...;...;...;...;...;...;...
"Mikkeli";"Blocks of flats";"One-room flat";1543;...;1680;1790;...;1670;1551;...;...;1570;1592;1909;...;1727;2175;...;...;...;2061;...;...;...;...;1958;2028;2211;2119;1919;2175;...;...;1903;1776;2326;...;...;...;...;1351;1395;...;...
"Kuopio 1";"Blocks of flats";"One-room flat";2440;2454;2580;2416;2522;2541;2620;2526;2609;2683;2671;2547;2423;2644;2813;...;2757;...;3083;2925;3083;2944;2988;2938;3068;3011;2929;...;2833;3060;2754;3331;2987;3359;3199;3185;3188;3215;3234;3104;3514;...
"Kuopio 2";"Blocks of flats";"One-room flat";...;...;...;...;1999;...;1967;...;1777;1695;1897;...;...;...;1798;...;1878;1936;1814;1710;1797;1777;...;1774;...;...;1858;1782;...;...;1882;...;1860;1773;...;1788;...;1631;1785;1785;...;...
"Joensuu 1";"Blocks of flats";"One-room flat";2268;2526;2548;...;2561;2603;2621;2308;2632;2690;2568;2835;...;2785;2951;2721;...;2813;2924;2708;2785;2797;2324;...;...;2730;2766;2740;2730;2790;2794;2710;2612;2741;...;2468;2353;...;2450;2249;2726;...
"Joensuu 2";"Blocks of flats";"One-room flat";...;...;...;...;...;1420;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Jyv‰skyl‰ 1";"Blocks of flats";"One-room flat";2312;2223;2420;2328;2452;2603;2652;2631;2488;2586;2693;2616;2638;2769;2735;2832;2636;2607;2884;2784;2938;2945;3086;2812;2881;2850;3036;3041;3058;3104;3135;2888;3154;3144;3124;3266;3099;3078;3101;3166;3168;3329
"Jyv‰skyl‰ 2";"Blocks of flats";"One-room flat";1511;1582;1599;1662;1528;1690;1606;1517;1503;1301;1575;1438;1549;1507;1650;1410;1525;1423;1542;1537;1851;1605;1408;1225;1644;1340;1679;1781;1589;1710;1770;1212;2137;2069;1606;1485;1435;1527;1321;1368;1596;...
"Sein‰joki";"Blocks of flats";"One-room flat";...;1483;1429;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2381;...;...;...;...;...;...;...;...
"Vaasa 1";"Blocks of flats";"One-room flat";2306;2131;2302;...;2309;2417;2232;2269;...;2596;2527;...;2572;...;2716;2245;2650;2556;2308;2931;3112;2408;...;2807;...;2632;2522;2626;2921;2803;2752;2680;...;2782;2541;2576;2862;2500;2406;2649;2598;...
"Vaasa 2";"Blocks of flats";"One-room flat";...;...;...;...;...;1386;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1424;...;...;...;...;...;...
"Kokkola";"Blocks of flats";"One-room flat";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Oulu 1";"Blocks of flats";"One-room flat";2169;2143;2172;2083;2296;2269;2270;2230;2188;2250;2200;2181;2383;2231;2360;2458;2332;2291;2380;2346;2373;2601;2458;2535;2513;2619;2570;2428;2586;2544;2617;2726;2731;2569;2574;2408;2559;2571;2706;2728;2659;2942
"Oulu 2";"Blocks of flats";"One-room flat";1568;1615;1664;1635;1578;1693;1711;...;1531;1544;1643;1644;1642;1541;1750;1659;1773;1780;1673;1767;1457;1617;1735;1664;1841;1644;1894;1964;2038;2081;1957;2009;1996;2563;1935;2176;1956;1895;2206;1760;1923;...
"Kajaani";"Blocks of flats";"One-room flat";...;1578;1502;...;1615;...;1649;...;...;1582;1543;1586;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1508;...;...;1402;...;...;...;...;...;...;...;...
"Lapland";"Blocks of flats";"One-room flat";1292;1243;1400;1427;1546;1311;1490;1478;1318;1391;1423;1543;1205;1217;1471;1339;1337;1191;1203;1239;1601;1382;1471;1464;1194;1346;1299;1361;1348;1552;1368;1203;1304;1427;1207;1443;1593;1363;1297;1463;1243;1184
"Rovaniemi";"Blocks of flats";"One-room flat";...;1508;1802;1924;1844;1717;1886;1801;1834;1863;1763;2060;...;...;1824;1675;1681;1529;1538;1545;...;2012;2212;1894;1596;2009;1537;1674;1787;1943;1919;1714;...;1856;1876;1860;...;1995;2164;1953;1742;...
