"112r -- Average prices of old dwellings in housing companies and numbers of transactions, quarterly, 2006-, 2006Q1-2020Q2*"

"Region";"Building type";"Number of rooms";"2010Q1 Price per square meter (EUR/m2)";"2010Q2 Price per square meter (EUR/m2)";"2010Q3 Price per square meter (EUR/m2)";"2010Q4 Price per square meter (EUR/m2)";"2011Q1 Price per square meter (EUR/m2)";"2011Q2 Price per square meter (EUR/m2)";"2011Q3 Price per square meter (EUR/m2)";"2011Q4 Price per square meter (EUR/m2)";"2012Q1 Price per square meter (EUR/m2)";"2012Q2 Price per square meter (EUR/m2)";"2012Q3 Price per square meter (EUR/m2)";"2012Q4 Price per square meter (EUR/m2)";"2013Q1 Price per square meter (EUR/m2)";"2013Q2 Price per square meter (EUR/m2)";"2013Q3 Price per square meter (EUR/m2)";"2013Q4 Price per square meter (EUR/m2)";"2014Q1 Price per square meter (EUR/m2)";"2014Q2 Price per square meter (EUR/m2)";"2014Q3 Price per square meter (EUR/m2)";"2014Q4 Price per square meter (EUR/m2)";"2015Q1 Price per square meter (EUR/m2)";"2015Q2 Price per square meter (EUR/m2)";"2015Q3 Price per square meter (EUR/m2)";"2015Q4 Price per square meter (EUR/m2)";"2016Q1 Price per square meter (EUR/m2)";"2016Q2 Price per square meter (EUR/m2)";"2016Q3 Price per square meter (EUR/m2)";"2016Q4 Price per square meter (EUR/m2)";"2017Q1 Price per square meter (EUR/m2)";"2017Q2 Price per square meter (EUR/m2)";"2017Q3 Price per square meter (EUR/m2)";"2017Q4 Price per square meter (EUR/m2)";"2018Q1 Price per square meter (EUR/m2)";"2018Q2 Price per square meter (EUR/m2)";"2018Q3 Price per square meter (EUR/m2)";"2018Q4 Price per square meter (EUR/m2)";"2019Q1 Price per square meter (EUR/m2)";"2019Q2 Price per square meter (EUR/m2)";"2019Q3 Price per square meter (EUR/m2)";"2019Q4 Price per square meter (EUR/m2)";"2020Q1* Price per square meter (EUR/m2)";"2020Q2* Price per square meter (EUR/m2)"
"Helsinki 1";"Terraced houses";"Total";..;..;..;..;..;..;..;..;...;..;..;..;..;..;..;..;..;..;..;..;...;...;...;...;...;...;...;...;...;...;...;...;..;..;..;..;..;..;..;..;..;..
"Helsinki 2";"Terraced houses";"Total";...;4138;...;...;...;...;...;...;...;4456;...;4663;4306;...;...;...;...;...;...;...;...;4735;...;...;...;4662;...;...;...;4524;...;4325;...;5498;4673;4125;...;...;...;5225;...;...
"Helsinki 3";"Terraced houses";"Total";3184;3315;3303;3255;3247;3366;3452;3338;3351;3356;3296;3315;3474;3449;3489;3379;3394;3433;3443;3310;3454;3385;3388;3439;3468;3348;3477;3524;3400;3552;3430;3389;3493;3573;3401;3615;3579;3676;3449;3476;3615;3680
"Helsinki 4";"Terraced houses";"Total";2791;2823;2759;2915;2897;3001;3005;2776;2919;2977;3011;2903;3035;2971;3046;3119;3095;3013;2904;2997;2976;2928;2997;2930;2983;3074;3112;2986;3131;3085;3088;3065;3111;3239;3074;3133;3190;3104;3084;2990;3100;3090
"Espoo-Kauniainen 1";"Terraced houses";"Total";3460;3694;3678;3692;3789;3720;3732;3646;3806;3751;4016;3888;3709;3828;3891;3528;3824;3738;3983;3766;3547;3771;3694;3726;3759;3984;3919;3865;3704;3870;3849;4027;3809;3910;3964;4004;3959;4036;4048;3989;4025;4044
"Espoo-Kauniainen 2";"Terraced houses";"Total";3343;3274;3312;3273;3369;3373;3397;3374;3412;3461;3435;3476;3458;3450;3503;3468;3470;3404;3394;3425;3495;3459;3442;3461;3462;3480;3410;3469;3556;3601;3532;3490;3605;3675;3591;3509;3558;3611;3600;3583;3588;3824
"Espoo-Kauniainen 3";"Terraced houses";"Total";2972;2994;3001;3004;3015;3031;3091;3002;3029;3021;3071;3034;3030;3142;3184;3064;3078;3031;3064;3015;3041;3019;3063;3013;3013;3045;3024;3014;3048;3123;3045;3135;3043;3154;3213;3123;3075;3150;3128;3092;3162;3179
"Vantaa 1";"Terraced houses";"Total";2764;2934;2852;2855;2918;2942;2952;3003;2872;3067;3073;3036;3079;3086;3034;3073;3036;3155;3028;3114;3067;3108;3037;3052;3049;3111;3086;3109;3124;3163;3111;3170;3052;3195;3212;3192;3302;3193;3227;3216;3096;3359
"Vantaa 2";"Terraced houses";"Total";2585;2626;2675;2645;2628;2650;2648;2699;2613;2656;2691;2805;2710;2764;2681;2644;2877;2744;2746;2656;2637;2614;2644;2657;2603;2680;2715;2755;2644;2695;2634;2693;2798;2693;2728;2731;2847;2803;2690;2773;2810;2806
"Porvoo";"Terraced houses";"Total";2233;2198;2207;2172;2309;2305;2338;2464;2360;2483;2332;2325;2429;2477;2413;2454;2655;2410;2326;2284;2280;2367;2499;2225;2398;2475;2421;2490;2454;2351;2484;2462;2359;2650;2448;2514;2342;2410;2540;2302;2663;...
"Hyvink‰‰";"Terraced houses";"Total";1988;1895;1946;1954;2079;2072;2082;2067;2114;2070;2106;2049;2154;2050;2067;2033;2113;2076;2064;2082;2110;2042;1987;2006;2104;2051;2059;2033;2077;1993;1975;2007;2036;2073;1941;2024;2004;2110;1930;1882;2117;...
"J‰rvenp‰‰";"Terraced houses";"Total";2293;2356;2392;2357;2416;2362;2417;2474;2427;2515;2368;2496;2499;2411;2388;2550;2461;2502;2337;2456;2439;2469;2399;2530;2372;2425;2394;2344;2451;2472;2313;2253;2467;2439;2434;2501;2558;2596;2435;2491;2345;2468
