"112r -- Average prices of old dwellings in housing companies and numbers of transactions, quarterly, 2006-, 2006Q1-2020Q2*"

"Region";"Building type";"Number of rooms";"2010Q1 Price per square meter (EUR/m2)";"2010Q2 Price per square meter (EUR/m2)";"2010Q3 Price per square meter (EUR/m2)";"2010Q4 Price per square meter (EUR/m2)";"2011Q1 Price per square meter (EUR/m2)";"2011Q2 Price per square meter (EUR/m2)";"2011Q3 Price per square meter (EUR/m2)";"2011Q4 Price per square meter (EUR/m2)";"2012Q1 Price per square meter (EUR/m2)";"2012Q2 Price per square meter (EUR/m2)";"2012Q3 Price per square meter (EUR/m2)";"2012Q4 Price per square meter (EUR/m2)";"2013Q1 Price per square meter (EUR/m2)";"2013Q2 Price per square meter (EUR/m2)";"2013Q3 Price per square meter (EUR/m2)";"2013Q4 Price per square meter (EUR/m2)";"2014Q1 Price per square meter (EUR/m2)";"2014Q2 Price per square meter (EUR/m2)";"2014Q3 Price per square meter (EUR/m2)";"2014Q4 Price per square meter (EUR/m2)";"2015Q1 Price per square meter (EUR/m2)";"2015Q2 Price per square meter (EUR/m2)";"2015Q3 Price per square meter (EUR/m2)";"2015Q4 Price per square meter (EUR/m2)";"2016Q1 Price per square meter (EUR/m2)";"2016Q2 Price per square meter (EUR/m2)";"2016Q3 Price per square meter (EUR/m2)";"2016Q4 Price per square meter (EUR/m2)";"2017Q1 Price per square meter (EUR/m2)";"2017Q2 Price per square meter (EUR/m2)";"2017Q3 Price per square meter (EUR/m2)";"2017Q4 Price per square meter (EUR/m2)";"2018Q1 Price per square meter (EUR/m2)";"2018Q2 Price per square meter (EUR/m2)";"2018Q3 Price per square meter (EUR/m2)";"2018Q4 Price per square meter (EUR/m2)";"2019Q1 Price per square meter (EUR/m2)";"2019Q2 Price per square meter (EUR/m2)";"2019Q3 Price per square meter (EUR/m2)";"2019Q4 Price per square meter (EUR/m2)";"2020Q1* Price per square meter (EUR/m2)";"2020Q2* Price per square meter (EUR/m2)"
"Helsinki 1";"Blocks of flats";"Three-room flat+";5314;5487;5267;5360;5654;5858;5597;5448;5736;5556;5856;5674;5982;5816;6064;6063;5787;5855;5949;5820;6041;5981;6031;6164;6316;6046;6314;6330;6266;6648;6669;6735;6559;6970;6854;7047;7201;7304;7283;7207;7151;7586
"Helsinki 2";"Blocks of flats";"Three-room flat+";3798;3877;4009;3917;4105;4195;4129;4114;4265;4273;4334;4311;4421;4394;4472;4405;4512;4534;4457;4490;4628;4558;4554;4700;4619;4680;4842;4719;4925;4981;5004;5041;5165;5296;5289;5315;5337;5493;5554;5527;5629;5620
"Helsinki 3";"Blocks of flats";"Three-room flat+";2887;2929;2965;2966;3039;3067;3132;3059;3100;3062;3121;3250;3191;3286;3290;3313;3359;3321;3284;3280;3366;3301;3251;3373;3314;3454;3633;3608;3570;3613;3525;3651;3519;3745;3652;3625;3840;3918;3883;3741;3803;3951
"Helsinki 4";"Blocks of flats";"Three-room flat+";2269;2346;2317;2301;2388;2370;2344;2374;2300;2342;2383;2401;2443;2459;2484;2404;2433;2506;2440;2456;2474;2422;2553;2426;2464;2461;2421;2515;2514;2547;2615;2562;2487;2571;2631;2577;2720;2738;2592;2609;2648;2575
"Espoo-Kauniainen 1";"Blocks of flats";"Three-room flat+";3200;3404;3509;3350;3476;3645;3378;3624;3759;3692;3693;3786;3677;3646;3610;3778;3885;3933;3670;3829;3742;3915;3936;3733;3959;4055;3879;4095;3915;3994;4124;4248;4238;4224;4346;4219;4448;4560;4454;4369;4596;4698
"Espoo-Kauniainen 2";"Blocks of flats";"Three-room flat+";2864;2942;2939;2926;3030;2993;3174;2990;3175;3186;3165;3186;3261;3180;3322;3220;3146;3223;3108;3178;3223;3212;3204;3339;3405;3344;3427;3505;3319;3461;3631;3517;3581;3540;3425;3701;3560;3398;3346;3472;3577;3500
"Espoo-Kauniainen 3";"Blocks of flats";"Three-room flat+";2299;2289;2370;2357;2326;2464;2543;2335;2494;2467;2510;2399;2487;2422;2519;2608;2453;2561;2418;2495;2498;2366;2436;2316;2529;2433;2475;2443;2523;2555;2563;2365;2527;2511;2613;2612;2488;2651;2634;2551;2620;2716
"Vantaa 1";"Blocks of flats";"Three-room flat+";2644;2626;2689;2800;2615;2821;2826;2674;2907;2859;2857;2988;2918;2825;2939;2881;2743;3060;3031;2936;3013;3134;2941;2885;2895;3013;2984;3125;3053;3138;3025;3155;3011;3258;3172;3247;3223;3163;3184;3308;3356;3468
"Vantaa 2";"Blocks of flats";"Three-room flat+";1888;1977;1957;2016;2012;2051;2051;2055;2077;2045;2085;2093;2091;2127;2097;2044;2017;2060;2115;2011;2073;2014;2005;2021;2043;2060;2026;2063;2018;2038;2069;2009;2073;2067;2071;2098;1980;2034;2053;2060;2110;2078
"Porvoo";"Blocks of flats";"Three-room flat+";1811;1999;1964;...;2170;2338;2146;2047;...;2164;2205;2497;2309;2270;...;2396;2083;2468;...;1944;...;2301;2004;2276;2518;2394;2169;2372;2436;2434;2337;2263;2521;2326;2383;2444;2084;2491;...;2546;2408;...
