"112r -- Average prices of old dwellings in housing companies and numbers of transactions, quarterly, 2006-, 2006Q1-2020Q2*"

"Region";"Building type";"Number of rooms";"2010Q1 Price per square meter (EUR/m2)";"2010Q2 Price per square meter (EUR/m2)";"2010Q3 Price per square meter (EUR/m2)";"2010Q4 Price per square meter (EUR/m2)";"2011Q1 Price per square meter (EUR/m2)";"2011Q2 Price per square meter (EUR/m2)";"2011Q3 Price per square meter (EUR/m2)";"2011Q4 Price per square meter (EUR/m2)";"2012Q1 Price per square meter (EUR/m2)";"2012Q2 Price per square meter (EUR/m2)";"2012Q3 Price per square meter (EUR/m2)";"2012Q4 Price per square meter (EUR/m2)";"2013Q1 Price per square meter (EUR/m2)";"2013Q2 Price per square meter (EUR/m2)";"2013Q3 Price per square meter (EUR/m2)";"2013Q4 Price per square meter (EUR/m2)";"2014Q1 Price per square meter (EUR/m2)";"2014Q2 Price per square meter (EUR/m2)";"2014Q3 Price per square meter (EUR/m2)";"2014Q4 Price per square meter (EUR/m2)";"2015Q1 Price per square meter (EUR/m2)";"2015Q2 Price per square meter (EUR/m2)";"2015Q3 Price per square meter (EUR/m2)";"2015Q4 Price per square meter (EUR/m2)";"2016Q1 Price per square meter (EUR/m2)";"2016Q2 Price per square meter (EUR/m2)";"2016Q3 Price per square meter (EUR/m2)";"2016Q4 Price per square meter (EUR/m2)";"2017Q1 Price per square meter (EUR/m2)";"2017Q2 Price per square meter (EUR/m2)";"2017Q3 Price per square meter (EUR/m2)";"2017Q4 Price per square meter (EUR/m2)";"2018Q1 Price per square meter (EUR/m2)";"2018Q2 Price per square meter (EUR/m2)";"2018Q3 Price per square meter (EUR/m2)";"2018Q4 Price per square meter (EUR/m2)";"2019Q1 Price per square meter (EUR/m2)";"2019Q2 Price per square meter (EUR/m2)";"2019Q3 Price per square meter (EUR/m2)";"2019Q4 Price per square meter (EUR/m2)";"2020Q1* Price per square meter (EUR/m2)";"2020Q2* Price per square meter (EUR/m2)"
"Helsinki 1";"Blocks of flats";"Two-room flat";5109;5197;5259;5190;5620;5707;5650;5630;5748;5700;5798;5789;5936;6040;6214;6178;5966;6100;6091;5992;6176;6087;6375;6233;6148;6393;6202;6451;6667;6770;6951;6876;6926;7242;7181;7358;7467;7482;7306;7150;7548;7735
"Helsinki 2";"Blocks of flats";"Two-room flat";3858;3977;3943;4081;4154;4208;4175;4151;4258;4397;4429;4462;4555;4645;4656;4690;4724;4741;4704;4762;4779;4819;4948;4939;4938;4975;5006;5136;5214;5244;5368;5275;5563;5743;5625;5663;5695;5693;5705;5741;5830;6027
"Helsinki 3";"Blocks of flats";"Two-room flat";2967;3028;3063;3174;3130;3235;3219;3244;3335;3283;3336;3393;3462;3469;3534;3533;3601;3470;3645;3735;3589;3680;3604;3699;3683;3802;3689;3872;3888;3886;3968;4006;4038;4026;3992;4163;4122;4210;4168;4223;4107;4194
"Helsinki 4";"Blocks of flats";"Two-room flat";2465;2527;2538;2572;2573;2608;2646;2634;2710;2703;2737;2781;2745;2813;2813;2817;2797;2840;2775;2771;2828;2769;2969;2764;2721;2868;2844;2840;2896;2955;2880;2974;2932;2969;2934;2954;3002;2981;3037;3028;3023;3126
"Espoo-Kauniainen 1";"Blocks of flats";"Two-room flat";3360;3476;3469;3682;3536;3686;4029;3650;3877;3901;3880;4045;4013;3983;4091;3919;3907;4002;4093;3988;4188;4161;4044;3875;4287;4160;4133;4258;4413;4506;4407;4416;4528;4479;4878;4362;4379;4422;4623;4676;4957;5024
"Espoo-Kauniainen 2";"Blocks of flats";"Two-room flat";3165;3112;3189;3259;3415;3353;3295;3373;3416;3591;3610;3624;3605;3654;3711;3699;3600;3577;3778;3702;3638;3588;3639;3507;3502;3627;3763;3637;3712;3733;3870;3838;3861;3934;3848;4039;4000;3967;3924;3811;3868;3936
"Espoo-Kauniainen 3";"Blocks of flats";"Two-room flat";2624;2621;2572;2563;2694;2667;2682;2708;2739;2887;2782;2718;2794;2785;2812;2918;2885;2907;2859;2715;2749;2786;2673;2888;2706;2814;2866;2859;2865;2936;3074;2979;2994;2878;2768;2892;2971;2898;2875;2904;2874;3194
"Vantaa 1";"Blocks of flats";"Two-room flat";2812;2786;2860;2836;2893;3041;2954;2830;3118;3145;3134;3175;3099;3261;3137;3173;3217;3301;3265;3125;3197;3381;3316;3296;3187;3168;3407;3335;3239;3398;3487;3408;3688;3504;3662;3418;3543;3667;3636;3632;3637;4022
"Vantaa 2";"Blocks of flats";"Two-room flat";2193;2263;2268;2213;2268;2290;2285;2311;2371;2284;2347;2262;2201;2401;2361;2401;2442;2410;2320;2322;2403;2364;2320;2400;2415;2412;2364;2316;2412;2316;2381;2363;2500;2349;2473;2330;2442;2355;2389;2361;2431;2393
"Porvoo";"Blocks of flats";"Two-room flat";2014;2377;2320;2084;2514;2281;2292;2287;2359;2394;2500;2291;2334;2240;2344;2445;...;2490;2140;2294;2303;2218;2067;2602;2254;2431;2624;2568;2353;2376;2581;2280;2368;2400;2402;2467;2247;2541;2214;2369;2692;2555
"Hyvink‰‰";"Blocks of flats";"Two-room flat";1706;1665;1710;1716;1823;1812;1818;1826;1808;1855;1771;1931;1387;1959;1834;1924;2019;1742;2056;1914;1894;1908;1850;1922;1781;1845;1883;1947;1746;1891;1744;1859;1813;1882;1759;1699;1847;1666;1680;1858;1644;1760
"J‰rvenp‰‰";"Blocks of flats";"Two-room flat";2233;2203;2095;2361;2280;2319;2300;2249;2114;2263;2169;2153;2361;2386;2418;...;2325;2533;2420;2334;2167;2522;2213;2310;2362;2162;2217;2319;2168;2434;2545;2218;2336;2307;2325;2228;2283;2361;2422;2695;2379;2138
"Kerava";"Blocks of flats";"Two-room flat";2305;2107;2238;2168;2273;2345;2224;2148;2306;2383;2273;2482;2301;2402;2389;2357;2412;2418;2286;2361;2274;2450;2382;2045;2365;2303;2287;2395;2368;2502;2318;2194;2445;2358;2260;2237;2033;2435;2338;2248;2236;...
"Turku 1";"Blocks of flats";"Two-room flat";2318;2333;2357;2389;2425;2391;2492;2403;2380;2430;2500;2522;2563;2627;2575;2502;2639;2689;2568;2534;2685;2660;2598;2728;2800;2885;2755;2924;2724;2954;2922;3069;3164;3033;3166;3194;3357;3231;3242;3193;3381;3452
"Turku 2";"Blocks of flats";"Two-room flat";1756;1746;1763;1751;1783;1842;1843;1794;1866;1903;1966;1898;2007;1905;2070;1984;1849;2002;2094;2025;2156;2055;1971;2126;2064;2066;2129;2155;2198;2188;2273;2359;2285;2163;2438;2249;2509;2407;2341;2308;2416;3169
"Turku 3";"Blocks of flats";"Two-room flat";1352;1417;1429;1352;1387;1354;1335;1387;1453;1456;1416;1474;1371;1397;1478;1388;1394;1354;1430;1298;1425;1452;1478;1342;1491;1438;1396;1405;1452;1484;1480;1467;1291;1479;1558;1546;1458;1472;1488;1392;1436;1431
"Pori 1";"Blocks of flats";"Two-room flat";1590;1593;1675;1730;1739;1685;1809;1714;1586;1602;1880;1587;1916;1940;1825;1838;1345;1836;1860;1638;1682;1595;1833;1538;1844;1929;1838;1790;1700;1938;1804;1756;1785;1753;1772;1784;1742;1909;1609;1857;1603;...
"Pori 2";"Blocks of flats";"Two-room flat";836;840;869;963;948;948;978;896;919;938;948;820;885;904;988;984;939;1030;1004;966;1001;1013;889;904;813;753;845;820;854;813;839;835;912;991;778;835;794;761;829;881;...;...
"Rauma";"Blocks of flats";"Two-room flat";1231;1297;1235;1289;1306;1349;1382;1341;1415;1434;1360;1147;1366;1353;1367;1226;1407;1112;1295;1440;1294;1276;1202;1218;1061;968;1270;1302;1136;1413;1382;1456;1346;1215;1235;1092;1190;1416;1326;1138;1174;...
"H‰meenlinna 1";"Blocks of flats";"Two-room flat";1991;1869;1957;1975;2098;2196;2098;2043;2141;2245;2102;2056;2141;2254;2157;2243;2233;2156;2198;2219;2286;2360;2308;2277;2135;2152;2262;2061;2262;2151;2199;2116;2036;2079;2232;2012;1951;1971;1976;2065;1842;1792
"H‰meenlinna 2";"Blocks of flats";"Two-room flat";...;1450;1434;1359;1329;1158;1533;1538;1469;1500;...;1397;1544;1429;1476;1540;...;1418;...;...;1560;1336;...;1386;1536;...;...;1294;1256;1222;...;1359;...;...;...;...;...;...;1163;...;...;...
"Riihim‰ki";"Blocks of flats";"Two-room flat";1360;1515;1373;1491;1444;1578;1521;1616;1456;1628;1528;1586;1576;1626;1645;1508;1488;1590;1446;1560;1594;1535;1367;1327;1479;1555;1537;1536;1628;1578;1271;1335;1432;...;1552;1371;1500;1275;...;1196;1354;...
